Organization Name,Partner Type,Address,City,State/Province,Zip/Postal Code,PFP Web Page,Latitude,Longitude
Lucky Dog Rescue (Mississippi),Shelter Partner,3711 Oakdale Ave,Meridian,Mississippi,39305,http://petsforpatriots.org/partners/lucky-dog-rescue/,32.3973902,-88.6939447
City of Bloomington Animal Care & Control,Shelter Partner,3410 S. Walnut,Bloomington,Indiana,47403,http://petsforpatriots.org/partners/city-of-bloomington-animal-care-control/,39.12583994,-86.53154677
Humane Society of Whitley County,Shelter Partner,951 S. Line Street,Columbia City,Indiana,46725,http://petsforpatriots.org/partners/humane-society-of-whitley-county/,41.147685,-85.490803
Adams County Animal Shelter,Shelter Partner,10705 Fulton St,Brighton,Colorado,80601,http://petsforpatriots.org/partners/adams-county-animal-shelter/,39.891758,-104.871689
K9.5 Rescue,Shelter Partner,1754 Woodruff Rd #308,Greenville,South Carolina,29607,http://petsforpatriots.org/partners/k9-5-rescue/,34.81944412,-82.27052672
Stamford Animal Care & Control,Shelter Partner,201 Magee Ave,Stamford,Connecticut,6902,http://petsforpatriots.org/partners/stamford-animal-care-control/,41.04317383,-73.52715587
Ark Animal Shelter,Shelter Partner,"60 Barber Lane, POB 276",Cherryfield,Maine,4622,http://petsforpatriots.org/partners/the-ark-animal-shelter/,44.71003,-67.96412
The Animal Welfare League,Shelter Partner,10305 Southwest Highway,Chicago Ridge,IL,60415,http://petsforpatriots.org/partners/animal-welfare-league/,41.703627,-87.787701
Humane Association of Central New York,Shelter Partner,"4915 1/2 West Taft Road, POB 38",Liverpool,New York,13088,http://petsforpatriots.org/humane-association-of-central-new-york/,43.10738,-76.18312
Tony LaRussa's Animal Rescue Foundation (ARF),Shelter Partner,2890 Mitchell Drive,Walnut Creek,California,94598,http://petsforpatriots.org/partners/tony-larussas-animal-rescue-foundation/,37.932835,-122.02081
Angels on Wheels Animal Rescue,Shelter Partner,3611 Lawrence Drive,Naperville,Illinois,60564,http://petsforpatriots.org/partners/angels-on-wheels-animal-rescue/,41.700033,-88.182797
German Shepherd Rescue,Shelter Partner,P.O. Box 5092,Skokie,Illinois,60077,http://petsforpatriots.org/partners/german-shepherd-rescue/,42.02738,-87.74625
Pueblo Animal Services,Shelter Partner,4600 Eagleridge Place,Pueblo,CO,81008,http://petsforpatriots.org/pueblo-animal-services/,38.3191664,-104.6209105
Animal Welfare League of Arlington,Shelter Partner,2650 S.Arlington Mill Drive,Arlington,Virginia,22206,http://petsforpatriots.org/partners/animal-welfare-league-of-arlington/,38.843564,-77.093119
South Suburban Humane Society,Shelter Partner,1103 West End Avenue,Chicago Heights,IL,60411,http://petsforpatriots.org/partners/south-suburban-humane-society/,41.5113504,-87.6307654
Carteret County Humane Society,Shelter Partner,"853 Hibbs Road, POB 357",Newport,North Carolina,28570,http://petsforpatriots.org/partners/carteret-county-humane-society/,34.75293,-76.87632
Humane Society of Harford County,Shelter Partner,2208 Connolly Road,Fallston,Maryland,21047,http://petsforpatriots.org/partners/humane-society-of-harford-county/,39.506342,-76.398381
Canines With a Cause,Shelter Partner,3970 S. 2700 E.,Salt Lake City,Utah,84124,http://petsforpatriots.org/partners/canines-with-a-cause/,40.684413,-111.815825
Humane Society of the Huron Valley,Shelter Partner,3100 Cherry Hill Rd,Ann Arbor,Michigan,48105,http://petsforpatriots.org/partners/humane-society-of-the-huron-valley/,42.306812,-83.655359
Humane Society of Tampa Bay,Shelter Partner,3607 N. Armenia Ave.,Tampa,Florida,33607,http://petsforpatriots.org/partners/humane-society-of-tampa-bay/,27.971436,-82.483838
Ventura County Animal Services,Shelter Partner,600 Aviation Drive,Camarillo,California,93010,http://petsforpatriots.org/ventura-county-animal-services/,34.20971287,-119.0896613
The Bella Foundation,Shelter Partner,PO Box 20035,Oklahoma City,Oklahoma,73156,http://petsforpatriots.org/partners/the-bella-foundation/,35.5665,-97.55129
Florida Boxer Rescue,Shelter Partner,2039 East Crooked Lake Drive,Eustis,Florida,32726,http://petsforpatriots.org/partners/florida-boxer-rescue/,28.8362765,-81.6624796
Tacoma-Pierce County Humane Society,Shelter Partner,2608 Center Street,Tacoma,WA,98409,http://petsforpatriots.org/partners/tacoma-pierce-county-humane-society/,47.233823,-122.471379
Helping Paws Animal Sanctuary,Shelter Partner,"10060 Mallory Pkwy E, Unit D",Saint James City,Florida,33956,http://petsforpatriots.org/partners/helping-paws-animal-sanctuary/,26.607196,-82.111554
St. Joseph Bay Humane Society,Shelter Partner,1007 10th St.,Port St. Joe,Florida,32456,http://petsforpatriots.org/partners/st-joseph-bay-humane-society/,29.80993956,-85.2895718
Brigid's Crossing Foundation,Shelter Partner,P.O. Box 9086,Naples,Florida,34101,http://petsforpatriots.org/partners/brigids-crossing-foundation/,26.16317,-81.79094
Hawaiian Humane Society,Shelter Partner,2700 Waialae Avenue,Honolulu,Hawaii,96826,http://petsforpatriots.org/partners/hawaiian-humane-society/,21.290628,-157.818463
Humane Animal Rescue,Shelter Partner,6620 Hamilton Avenue,Pittsburgh,Pennsylvania,15206,http://petsforpatriots.org/partners/animal-rescue-league-of-western-pa/,40.45769052,-79.91056727
The Animal Shelter of Texas County,Shelter Partner,"6931 East Highway 17, POB 228",Houston,Missouri,65483,http://petsforpatriots.org/partners/the-animal-shelter-of-texas-county/,37.31545,-91.96306
Bastrop County Animal Shelter,Shelter Partner,589 Cool Water Drive,Bastrop,Texas,78602,http://petsforpatriots.org/partners/bastrop-county-animal-shelter/,30.2047656,-97.3012635
Safe Animal Shelter of Orange Park,Shelter Partner,2913 County Road 220,Middleburg,Florida,32068,http://petsforpatriots.org/partners/safe-animal-shelter-of-orange-park/,30.1049427,-81.7994354
Corridor Rescue,Shelter Partner,"10134 Hammerly Blvd., Box 187",Houston,Texas,77080,http://petsforpatriots.org/partners/corridor-rescue/,29.81288421,-95.54345455
Pug Rescue Austin,Shelter Partner,"12340 Alameda Trace Circle
Apt 2204 (we are foster based)",Austin,Texas,78727,http://petsforpatriots.org/partners/pug-rescue-of-austin/,30.431047,-97.747629
Sacramento SPCA,Shelter Partner,6201 Florin-Perkins Road,Sacramento,California,95828,http://petsforpatriots.org/partners/sacramento-spca/,38.514723,-121.388182
Monmouth County SPCA - Eatontown,Shelter Partner,260 Wall Street,Eatontown,New Jersey,7724,https://petsforpatriots.org/partners/monmouth-county-spca-eatontown/,40.281985,-74.039823
Caroline County Humane Society,Shelter Partner,407 W Belle Rd,Ridgely,Maryland,21660-1338,http://petsforpatriots.org/partners/caroline-county-humane-society/,38.9456976,-75.8919885
Quincy Animal Shelter,Shelter Partner,"56 Broad Street, POB 690088",Quincy,Massachusetts,2169,http://petsforpatriots.org/partners/quincy-animal-shelter/,42.25123,-71.00181
Animal Welfare Association,Shelter Partner,509 Centennial Blvd,Voorhees,New Jersey,8043,http://petsforpatriots.org/partners/the-animal-welfare-association/,39.859782,-74.950196
Humane Society of Richland County,Shelter Partner,3025 Park Ave West,Ontario,Ohio,44906,http://petsforpatriots.org/partners/humane-society-of-richland-county/,40.7597162,-82.6231511
Arizona Animal Welfare League,Shelter Partner,30 N. 40th Place,Phoenix,Arizona,85034,http://petsforpatriots.org/partners/arizona-animal-welfare-league/,33.44919,-111.994392
PAWS Humane,Shelter Partner,4900 Milgen Road,Columbus,Georgia,31907,https://petsforpatriots.org/partners/paws-humane/,32.517082,-84.908775
Animal Friends Humane Society,Shelter Partner,1820 Princeton Road,Hamilton,Ohio,45011,http://petsforpatriots.org/partners/animal-friends-humane-society/,39.39271588,-84.5365975
Almost Home Boxer Rescue,Shelter Partner,PO BOX 93911,Phoenix,Arizona,85070,http://petsforpatriots.org/partners/almost-home-boxer-rescue/,33.29094,-112.06441
Macon County Animal Control & Care Center,Shelter Partner,2820 E. Parkway Drive,Decatur,Illinois,62526,http://petsforpatriots.org/partners/macon-county-animal-control-care-center/,39.872746,-88.915438
Kitsap Humane Society,Shelter Partner,9167 Dickey Road NW,Silverdale,Washington,98383,http://petsforpatriots.org/partners/kitsap-humane-society/,47.645716,-122.720786
Monroe County Friends of Animals (MCFA),Shelter Partner,170 Kefauver Lane,Madisonville,Tennessee,37354,http://petsforpatriots.org/partners/monroe-county-friends-of-animals/,35.51105412,-84.35837715
SPCA of Anne Arundel County,Shelter Partner,1815 Bay Ridge Avenue,Annapolis,Maryland,21403,https://petsforpatriots.org/partners/spca-of-anne-arundel-county/,38.95656511,-76.49194725
Green Hills Animal Shelter,Shelter Partner,3041 East 10th Street,Trenton,Missouri,64683,http://petsforpatriots.org/partners/green-hills-animal-shelter/,40.07581713,-93.58329741
Virginia Beach SPCA,Shelter Partner,3040 Holland Road,Virginia Beach,Virginia,23453,http://petsforpatriots.org/partners/virginia-beach-spca/,36.7845426,-76.0779901
Lucky Dog Rescue (Colorado),Shelter Partner,"4401 Mark Dabling Blvd
Suite 10",Colorado Springs,Colorado,80907,http://petsforpatriots.org/partners/lucky-dog-rescue-colorado/,38.895616,-104.824802
Animals First Foundation of Texas,Shelter Partner,"391 E. Las Colinas Boulevard
Suite 130, #301",Irving,Texas,75039,http://petsforpatriots.org/partners/animals-first-foundation-of-texas/,32.88271,-96.94691
Nuts for Mutts Rescue,Shelter Partner,Adoption Center: 4259 Culver Road,Irondequoit,New York,14622,http://petsforpatriots.org/partners/nuts-for-mutts-rescue/,43.21288,-77.55943
Big Dog Ranch Rescue,Shelter Partner,10948 Acme Road,Wellington,Florida,33414,http://petsforpatriots.org/partners/big-dog-ranch-rescue/,26.6760107,-80.2178564
Friends For the Animals of Metro Detroit,Shelter Partner,2661 Greenfield,Dearborn,Michigan,48120,https://petsforpatriots.org/partners/friends-for-animals-of-metro-detroit/,42.296478,-83.181664
San Diego Humane Society and SPCA Oceanside Campus,Shelter Partner,2905 San Luis Rey Road,Oceanside,California,92058,http://petsforpatriots.org/partners/san-diego-humane-society-spca-oceanside/,33.209338,-117.353228
BARC Animal Shelter & Adoptions,Shelter Partner,3200 Carr Street,Houston,Texas,77026,http://petsforpatriots.org/partners/barc-animal-shelter-adoption/,29.78849221,-95.34540139
Casey's Safe Haven,Shelter Partner,Private address; do not publish: 524 Cumnor,Westmont,Illinois,60559,http://petsforpatriots.org/partners/caseys-safe-haven/,41.79273,-87.97664
County of San Diego Department of Animal Services - Bonita,Shelter Partner,5481 Sweetwater Road,Bonita,California,91902,http://petsforpatriots.org/partners/county-of-san-diego-department-of-animal-services-bonita/,32.67864369,-117.0172288
County of San Diego Department of Animal Services - San Diego,Shelter Partner,5480 Gaines St.,San Diego,California,92110,http://petsforpatriots.org/partners/county-of-san-diego-department-of-animal-services-san-diego/,32.76538172,-117.1938028
Animal Welfare Society of Jefferson County,Shelter Partner,PO Box 147,Charles Town,West Virginia,25414,http://petsforpatriots.org/partners/animal-welfare-society-of-jefferson-county/,39.27974,-77.86142
County of San Diego Department of Animal Services - Carlsbad,Shelter Partner,2481 Palomar Airport Road,Carlsbad,California,92011-1531,http://petsforpatriots.org/partners/county-of-san-diego-department-of-animal-services-carlsbad/,33.12884136,-117.2686233
Jefferson County Animal Control,Shelter Partner,161 Poor Farm Road,Kearneysville,West Virginia,25430,http://petsforpatriots.org/partners/jefferson-county-animal-control/,39.335812,-77.908998
Blue Mountain Humane Society,Shelter Partner,7 E. George St,Walla Walla,WA,99362,http://petsforpatriots.org/partners/blue-mountain-humane-society/,46.0770288,-118.3418038
Champaign County Humane Society,Shelter Partner,1911 E. Main Street,Urbana,Illinois,61802,http://petsforpatriots.org/partners/champaign-county-humane-society/,40.110886,-88.182096
Contra Costa County Animal Services,Shelter Partner,4800 Imhoff Place,Martinez,California,94553,http://petsforpatriots.org/partners/contra-costa-county-animal-services-department/,38.0015774,-122.0711318
Peoria County Animal Protection Services (PCAPS),Shelter Partner,2600 NE Perry Ave,Peoria,Illinois,61603,https://petsforpatriots.org/partners/peoria-county-animal-protection-services/,40.715347,-89.569342
Outreach to Pets In Need (OPIN),Shelter Partner,186 Gregory Boulevard,Norwalk,Connecticut,6855,http://petsforpatriots.org/partners/outreach-to-pets-in-need/,41.089664,-73.399451
Brookhaven Animal Shelter,Shelter Partner,300 Horseblock Road,Brookhaven,New York,11719,http://petsforpatriots.org/partners/brookhaven-animal-shelter/,40.79894952,-72.90717549
Philadelphia Animal Welfare Society (PAWS),Shelter Partner,100 N. 2nd Street,Philadelphia,Pennsylvania,19106,http://petsforpatriots.org/partners/philadelphia-animal-welfare-society/,39.952032,-75.143409
"Lollypop Farm, Humane Society of Greater Rochester",Shelter Partner,99 Victor Road,Fairport,New York,14450,http://petsforpatriots.org/partners/lollypop-farm-hs-of-greater-rochester/,43.05969,-77.399797
Macomb County Animal Shelter,Shelter Partner,21417 Dunham Road,Clinton Townhip,Michigan,48036,http://petsforpatriots.org/partners/macomb-county-animal-shelter/,42.619554,-82.895307
The Marshmallow Foundation,Shelter Partner,1478 Mallard St,Detroit Lakes,Minnesota,56501,http://petsforpatriots.org/partners/the-marshmallow-foundation/,46.845604,-95.830566
KC Pet Project,Shelter Partner,4400 Raytown Road,Kansas City,Missouri,64129,http://petsforpatriots.org/partners/kc-pet-project/,39.0431318,-94.4983309
Animal Rescue Foundation,Shelter Partner,6140 Rangeline Rd.,Theodore,Alabama,36582,http://petsforpatriots.org/partners/animal-rescue-foundation/,30.5635034,-88.1292998
Maui Humane Society,Shelter Partner,1350 Mehameha Loop,Puunene,Hawaii,96784,http://petsforpatriots.org/partners/maui-humane-society/,20.86858,-156.45562
Gulf Coast Humane Society GCHSCC,Shelter Partner,3118 Cabaniss,Corpus Christi,Texas,78415,http://petsforpatriots.org/partners/gulf-coast-humane-society-corpus-christi/,27.704142,-97.435191
Baltimore Humane Society,Shelter Partner,1601 Nicodemus Road,Reisterstown,Maryland,21136,http://petsforpatriots.org/partners/baltimore-humane-society/,39.446681,-76.869444
SBK Animal Center,Shelter Partner,SBK-Bountville: 380 Masengill Rd.,Blountville,Tennessee,37617,http://petsforpatriots.org/partners/sbk-animal-center/,36.55285,-82.3203
Spartanburg Humane Society,Shelter Partner,150 Dexter Road,Spartanburg,South Carolina,29303,http://petsforpatriots.org/partners/spartanburg-humane-society/,34.972917,-81.963418
Oak Ridge Animal Shelter,Shelter Partner,395 Belgrade Rd,Oak Ridge,Tennessee,37830,http://petsforpatriots.org/partners/oak-ridge-animal-shelter/,36.03782757,-84.21779556
Albany Humane Society,Shelter Partner,1705 West Oakridge Dr.,Albany,Georgia,31707,http://petsforpatriots.org/partners/albany-humane-society/,31.5501279,-84.2041011
Tabby's Place: A Cat Sanctuary,Shelter Partner,1100 US Highway 202,Ringoes,New Jersey,8551,http://petsforpatriots.org/partners/tabbys-place-a-cat-sanctuary/,40.42143094,-74.86758063
Lake City Humane Society,Shelter Partner,1392 NW Shelter Glen,Lake City,Florida,32055,http://petsforpatriots.org/partners/lake-city-humane-society/,30.19708475,-82.65996825
Central Vermont Humane Society,Shelter Partner,POB 687,Montpelier,Vermont,5601,http://petsforpatriots.org/partners/central-vermont-humane-society/,44.26173,-72.58252
Jacksonville Humane Society,Shelter Partner,8464 Beach Blvd,Jacksonville,Florida,32216,http://petsforpatriots.org/partners/jacksonville-humane-society/,30.28668,-81.571892
Animal Defense League of Texas,Shelter Partner,11300 Nacogdoches Rd.,San Antonio,Texas,78217,http://petsforpatriots.org/partners/animal-defense-league-of-texas/,29.541886,-98.418436
City of San Antonio Animal Care Services,Shelter Partner,4710 Highway 151,San Antonio,Texas,78227,http://petsforpatriots.org/partners/san-antonio-animal-care-services/,29.4148876,-98.5902859
Animal Adoption Center,Shelter Partner,501 N.Berlin Road,Lindenwold,New Jersey,8021,http://petsforpatriots.org/partners/animal-adoption-center/,39.828217,-74.992715
Abandoned Animal Rescue,Shelter Partner,419 East Hufsmith,Tomball,Texas,77375,http://petsforpatriots.org/partners/abandoned-animal-rescue/,30.107436,-95.611955
Ozark Dale County Humane Society,Shelter Partner,579 Bivins Street,Ozark,Alabama,36360,http://petsforpatriots.org/partners/ozark-dale-county-humane-society/,31.40278859,-85.58822045
St. Petersburg College + School of Vet Tech,Shelter Partner,12376 Ulmerton Rd,Largo,Florida,33774,http://petsforpatriots.org/partners/st-petersburg-college-vet-tech-program/,27.8895229,-82.8093738
4 Luv Of Dog Rescue,Shelter Partner,1523 23rd St South,Moorhead,Minnesota,56560,http://petsforpatriots.org/partners/4-luv-of-dog-rescue/,46.858532,-96.745285
Seattle Humane,Shelter Partner,13213 SE Eastgate Way,Bellevue,Washington,98005,http://petsforpatriots.org/partners/seattle-humane/,47.58039938,-122.163522
Mat-Su Borough Animal Care,Shelter Partner,9470 E. Chanlyut Circle,Palmer,Alaska,99645,http://petsforpatriots.org/partners/mat-su-borough-animal-care/,61.59111,-149.211991
Berrien County Animal  Control,Shelter Partner,9204 Hucklebery Rd,Berrien Center,Michigan,49102,http://petsforpatriots.org/partners/berrien-county-animal-control/,41.95158264,-86.29611439
Michigan Humane Society Detroit,Shelter Partner,7401 Chrysler Drive,Detroit,Michigan,48211,http://petsforpatriots.org/partners/michigan-humane-society-detroit/,42.376072,-83.062273
Adams County Humane Society,Shelter Partner,"1982 11th Ave.   
P.O. Box 375",Friendship,Wisconsin,53934,http://petsforpatriots.org/partners/adams-county-humane-society/,43.968178,-89.796416
Lee County Humane Society,Shelter Partner,1140 Ware Drive,Auburn,Alabama,36832,http://petsforpatriots.org/partners/lee-county-humane-society/,32.61933287,-85.50615019
Utah Animal Adoption Center,Shelter Partner,1955 N. Redwood Road,Salt Lake City,Utah,84116,http://petsforpatriots.org/partners/utah-animal-adoption-center/,40.809628,-111.939697
Young-Williams Animal Center,Shelter Partner,3201 Division Street,Knoxville,Tennessee,37919,http://petsforpatriots.org/partners/young-williams-animal-center/,35.9566465,-83.9579162
Morgan County Humane Society,Shelter Partner,86 Gum Springs Cut-Off Road,Hartselle,Alabama,35640,http://petsforpatriots.org/partners/morgan-county-humane-society/,34.4451105,-86.83532504
Mohawk Hudson Humane Society,Shelter Partner,3 Oakland Avenue,Menands,New York,12204,http://petsforpatriots.org/partners/mohawk-hudson-humane-society/,42.69088648,-73.72526618
Richmond SPCA,Shelter Partner,"Robins-Starr Humane Center
2519 Hermitage Road",Richmond,Virginia,23220,http://petsforpatriots.org/partners/richmond-spca/,37.55305,-77.459
Castoff Pet Rescue,Shelter Partner,1732 John Smith Road E,Blairsville,Georgia,30512,http://petsforpatriots.org/partners/castaway-critters-pet-rescue/,34.9789093,-84.0788631
City of Rancho Cucamonga Animal Care & Adoption Center,Shelter Partner,11780 Arrow Route,Rancho Cucamonga,CA,91730,http://petsforpatriots.org/partners/rancho-cucamonga-animal-care-adoption-center/,34.100456,-117.54918
Cats Peek Rescue,Shelter Partner,25 Lumber Lane,New Ringgold,Pennsylvania,17960,http://petsforpatriots.org/partners/cats-peek-rescue/,40.736125,-75.910336
Logan's Run Rescue,Shelter Partner,"3000 US Hwy 64 West, Suite 118",Murphy,North Carolina,28906,http://petsforpatriots.org/partners/logans-run-rescue/,35.05315824,-84.07121333
Animal Welfare League of Pittsylvania County,Shelter Partner,PO Box 936,Chatham,Virginia,24531,http://petsforpatriots.org/partners/animal-welfare-league-of-pittsylvania-county/,36.83812,-79.45374
Wayside Waifs,Shelter Partner,3901 Martha Truman Road,Kansas City,Missouri,64137,http://petsforpatriots.org/partners/wayside-waifs/,38.909722,-94.547001
Loudon County Animal Shelter,Shelter Partner,250 Jamie Drive,Loudon,Tennessee,37774,http://petsforpatriots.org/partners/loudon-county-animal-shelter/,35.72832,-84.35515
St. Tammany Humane Society,Shelter Partner,20384 Harrison Ave,Covington,Louisiana,70433,http://petsforpatriots.org/partners/st-tammany-humane-society/,30.459192,-90.062587
Paws and Prayers,Shelter Partner,PO BOX 2864,Akron,Ohio,44309,http://petsforpatriots.org/partners/paws-and-prayers/,41.06741,-81.51803
New Leash on Life USA,Shelter Partner,P.O. Box 326,Narberth,Pennsylvania,19072,http://petsforpatriots.org/partners/new-leash-on-life-usa/,40.01271,-75.25895
Naperville Area Humane Society,Shelter Partner,1620 W. Diehl Rd,Naperville,Illinois,60103,http://petsforpatriots.org/partners/naperville-area-humane-society/,41.79891288,-88.19990745
Hinsdale Humane Society,Shelter Partner,22 N Elm St,Hinsdale,IL,60521,http://petsforpatriots.org/partners/hinsdale-humane-society/,41.80486456,-87.92263397
Geauga Humane Society Rescue Village,Shelter Partner,15463 Chillicothe Rd,Novelty,Ohio,44072,http://petsforpatriots.org/partners/geauga-humane-society-rescue-village/,41.44701,-81.334833
Meridian Canine Rescue,Shelter Partner,191 N. Linder Rd.,Meridian,Idaho,83642,https://petsforpatriots.org/partners/meridian-canine-rescue/,43.60642558,-116.4138057
Furry Friends Adoption & Clinic,Shelter Partner,401 Maplewood Dr #8,Jupiter,Florida,33458,http://petsforpatriots.org/partners/furry-friends-adoption-and-clinic/,26.93127307,-80.12474398
Paws Shelter and Humane Society,Shelter Partner,500 FM 150 East,Kyle,Texas,78640,http://petsforpatriots.org/partners/paws-shelter-and-humane-society/,29.981128,-97.870153
PAWS for Life Animal Welfare & Protection Society,Shelter Partner,800 N. Pueblo Blvd.,Pueblo,CO,81003,http://petsforpatriots.org/paws-for-life-animal-welfare-protection-society/,38.2740938,-104.6622949
Tails of Hope Pet Rescue,Shelter Partner,Lisa's home: 3512 S. Highway 77,Waxahachie,Texas,75165,http://petsforpatriots.org/partners/tails-of-hope-pet-rescue/,32.26102874,-96.86480065
The Anti-Cruelty Society,Shelter Partner,157 W Grand Ave,Chicago,Illinois,60654,http://petsforpatriots.org/partners/the-anti-cruelty-society/,41.89151,-87.633075
All Dogs' Heaven,Shelter Partner,"14837 Detroit Road
#317",Lakewood,Ohio,44107,http://petsforpatriots.org/partners/all-dogs-heaven/,41.48252,-81.79371
Plano Animal Shelter,Shelter Partner,4028 W. Plano Pkwy,Plano,Texas,75093,http://petsforpatriots.org/partners/plano-animal-shelter/,33.01070331,-96.77123502
Flagler Humane Society,Shelter Partner,1 Shelter Dr.,Palm Coast,Florida,32137,http://petsforpatriots.org/partners/flagler-humane-society/,29.55753046,-81.26648202
Saving the Animals Together,Shelter Partner,P.O. Box 12537,Jackson,Tennessee,38308,http://petsforpatriots.org/partners/saving-the-animals-together/,35.69624,-88.83548
Humane Society of Valdosta-Lowndes County,Shelter Partner,307 E  Jane St,Valdosta,Georgia,31601,http://petsforpatriots.org/partners/humane-society-of-valdosta-lowndes-county/,30.8455035,-83.2816936
Cats Cradle Shelter,Shelter Partner,9 Ninth Street South,Fargo,North Dakota,58103,http://petsforpatriots.org/partners/cats-cradle-shelter/,46.874272,-96.792946
Giant Hearts Giant Dog Rescue,Shelter Partner,P.O. Box 231,Hamilton,Virginia,20158,http://petsforpatriots.org/partners/giant-hearts-giant-dog-rescue/,39.13559,-77.66734
Palm Springs Animal Shelter,Shelter Partner,4575 E. Mesquite Ave,Palm Springs,California,92264,http://petsforpatriots.org/partners/palm-springs-animal-shelter/,33.806795,-116.496222
Humane Society of the South Platte Valley,Shelter Partner,2129 West Chenango Ave.,Littleton,Colorado,80120,http://petsforpatriots.org/partners/humane-society-of-the-south-platte-valley/,39.628151,-105.013185
Front Street Animal Shelter,Shelter Partner,2127 Front Street,Sacramento,California,95833,http://petsforpatriots.org/partners/front-street-animal-shelter/,38.5705578,-121.5104542
Safe Harbor Lab Rescue,Shelter Partner,"601 16th Street, #C-322",Golden,Colorado,80401,http://petsforpatriots.org/partners/safe-harbor-lab-rescue/,39.752973,-105.216195
Harbor Humane Society,Shelter Partner,14345 Bagley St.,West Olive,Michigan,49460,http://petsforpatriots.org/partners/harbor-humane-society/,42.9130165,-86.1410574
Noah's Ark Animal Welfare Association,Shelter Partner,PO Box 478,Trinidad,Colorado,81082,http://petsforpatriots.org/partners/noahs-ark-animal-welfare-association/,37.17379,-104.51075
Texas Humane Heroes Leander,Shelter Partner,10930 E. Crystal Falls Parkway,Leander,Texas,78641,http://petsforpatriots.org/partners/texas-humane-heroes-leander/,30.5662953,-97.8085967
Texas Humane Heroes Killeen,Shelter Partner,5501 Clear Creek Rd.,Killeen,Texas,76549,http://petsforpatriots.org/partners/texas-humane-heroes-killeen/,31.086494,-97.813316
Peninsula SPCA,Shelter Partner,523 J. Clyde Morris Blvd.,Newport News,Virginia,23601,http://petsforpatriots.org/partners/peninsula-spca/,37.072491,-76.479324
Verde Valley Humane Society,Shelter Partner,"1520 W. Minus Ave
POB 1429",Cottonwood,Arizona,86326,http://petsforpatriots.org/partners/verde-valley-humane-society/,34.7224,-112.00998
Terre Haute Humane Society,Shelter Partner,PO Box 3307,Terre Haute,Indiana,47803,http://petsforpatriots.org/partners/terre-haute-humane-society/,39.46856,-87.34407
Humane Society of Missouri,Shelter Partner,1201 Macklind Avenue,St. Louis,Missouri,63110,,38.6263023,-90.2765546
Prince George's County Animal Management Division,Shelter Partner,3750 Brown Station Road,Upper Marlboro,Maryland,20772,http://petsforpatriots.org/partners/prince-georges-county-animal-mgmt-div/,38.837091,-76.781412
Calhoun County Animal Center,Shelter Partner,165 South Union Street,Battle Creek,Michigan,49014,http://petsforpatriots.org/partners/calhoun-county-animal-center/,42.317617,-85.166772
Cocheco Valley Humane Society,Shelter Partner,262 County Farm Rd.,Dover,New Hampshire,3820,http://petsforpatriots.org/partners/cocheco-valley-humane-society/,43.21884871,-70.94014056
